22/09/2023 15:40 ES
codigo,patente,tipo_vehiculo,forma_pago,pais_cabina,distancia
82311535,OEKU27,1,2,1,460
887982560,YXJ0640,1,1,0,490
634526820,FYTU195,2,1,1,210
631124956,EWF0626,2,1,4,370
417322857,LQUE54,0,1,2,300
852208013,BE26420,0,2,1,310
424553124,SJD1203,1,2,0,60
839021279,RZ64087,2,1,0,160
245376904,JKZ1709,0,1,0,200
864381148,PPEW021,2,2,0,270
357191974,PT453ED,0,1,0,380
55473487,YV07840,2,1,2,30
699386365,MOW0A15,1,2,4,100
908322023,9108EQV,0,2,1,130
812303270,UU587MR,0,2,4,0
485959955,JX938IV,0,2,0,240
619171236,HBNL95,0,2,2,210
388636574,XOQP26,1,2,2,50
115425090,IQCW49,2,2,0,40
230705995,9913MBO,1,1,1,410
894891487,BG632LB,0,1,1,320
998090334,KN68933,2,1,2,410
94670382,2306CNM,2,2,4,440
968730954,VY18650,1,1,4,170
730580843,MJV3954,0,1,3,340
650883634,NL74526,0,1,2,350
567137950,GI744KA,0,2,1,100
971058536,GK28672,0,2,4,170
794514890,HIQG208,0,1,0,390
145038940,RL34310,2,1,4,60
787302271,YTZ2O35,0,2,2,410
727582924,BN19316,0,1,0,460
136652290,IS25070,0,2,4,230
133469588,PXI0X84,2,1,4,140
143698783,EIUZ87,0,1,2,250
260807240,7400FZR,0,2,2,230
868528646,UVIV494,0,1,0,230
259994948,0385JDQ,0,1,4,410
982219859,RW86899,0,1,0,100
938781639,3567WBO,2,1,2,390
740715419,DK434WV,0,2,2,60
156822841,5578WNU,2,2,2,320
255774993,EP166GB,2,2,3,230
737535528,RHTG759,0,1,0,60
445174744,QV00561,1,2,3,160
117763606,5830RFQ,1,1,0,140
286278700,BUPU097,2,1,1,490
116933200,WDUK28,2,2,2,270
591454495,JC378XS,2,1,4,280
150136151,AUL0V69,0,2,3,110
992373537,GADY671,0,2,0,490
593149616,GDYO077,1,1,3,50
873461191,OVG7197,1,1,3,270
643363448,DPKE000,1,2,2,340
535264943,QZN1399,2,2,0,140
555959214,2616PWL,1,2,0,180
331890876,LE04033,1,2,0,260
541872450,FY298XR,0,2,4,270
302622738,LX49533,0,2,4,500
311314044,AD06157,0,2,2,360
122632948,JR726OZ,0,2,3,110
937777243,EQQ0E15,0,2,1,310
993978572,IV008KN,0,1,0,50
533828718,RG60315,0,1,2,60
130352173,XA029GS,2,2,3,250
906795129,KDPY840,0,2,2,200
889197670,YKEA58,2,1,1,300
830729945,RF738OX,2,1,4,0
100780079,KAY0003,2,2,1,490
411310295,2715OAY,2,1,0,90
295945147,UKFL88,2,2,2,210
128207741,UG104DK,1,2,1,170
703323280,JNLR604,1,1,1,440
620069657,BO955TZ,1,1,3,120
225600135,UK00859,2,2,2,400
535188664,CM63155,2,2,4,500
985769143,RYRA805,2,1,1,380
571370118,KHU7942,1,2,3,380
986535573,4495LVQ,1,1,4,420
544266812,DUEZ405,2,1,2,350
559372066,1158WHO,0,2,3,450
656341342,3291ASG,0,1,3,330
926819551,HVOV74,2,1,4,60
865929983,XQBS49,0,1,0,500
931470577,BEJI016,1,2,4,50
830824902,ZHBO092,2,2,1,390
418397517,QHFY30,2,2,2,350
501597557,NE88292,1,2,1,360
661771000,DT014FA,2,1,0,360
533978778,JXRC482,0,1,4,220
193697110,ENY4X16,1,2,1,400
476293212,KTPL383,2,1,4,140
956201431,TY445XC,2,1,0,460
193986004,BSVB46,0,2,0,190
178203969,DTKN325,0,1,4,360
609813049,EMDD066,1,1,4,290
496550214,CH41002,0,2,1,100
958245560,QLBD64,1,1,0,260
477370914,UOXD686,0,1,2,420
996398734,3206OWM,2,2,4,180
533487131,3648BKS,0,1,0,110
818152198,ZIGM848,0,1,3,120
320559223,NRJ4909,2,2,2,150
329712929,CP99858,0,2,1,450
96963124,9938VVY,2,2,3,60
425344445,DEOQ23,2,2,3,280
741313879,HX10220,2,2,0,350
469510371,OFS7040,2,1,2,440
746576772,BZP8M04,2,1,0,70
162812931,0770GJG,2,2,1,200
875575914,VYH1477,0,2,0,470
609429399,SF99223,2,1,1,10
72866948,RRTB997,2,1,2,260
575182020,SLKB030,0,2,1,260
855169402,IVJ5M75,1,1,3,300
30326343,FK522QI,1,1,2,170
255985889,WI00378,0,1,3,370
905196768,0797EPZ,0,2,1,380
92934152,8509BSR,0,1,0,340
53014918,EZ83725,2,1,4,280
24276731,JD10984,2,2,2,430
91092228,LN289JM,1,2,0,260
408268496,QRD1214,1,1,3,320
373316981,1542UEU,1,2,4,20
148618718,YN81917,1,2,0,420
830005268,RRF5899,0,1,2,420
611817304,ZSLC700,0,1,2,340
864483808,YJOJ10,2,1,0,410
6804403,MUPQ754,2,1,0,500
112951489,DQH7023,2,2,2,270
579587288,JOB0187,2,2,2,110
759960668,UP011MX,1,2,0,180
78556177,BV399DD,1,1,3,490
268458811,VPRJ02,0,2,2,320
497665424,PUV2734,2,1,3,350
659395018,LM19176,0,1,1,50
189254489,1931TLQ,0,1,0,220
979528698,0909ZMU,2,1,2,30
654046972,BO97320,0,2,4,320
596590201,UHP4100,1,1,0,360
815500742,NGP7302,1,1,1,310
115954565,0870YNB,0,1,4,440
567077586,LP59857,0,1,1,130
147769244,1860BTO,0,1,4,280
635864084,NAB5O08,0,1,2,20
318982514,0886GUQ,2,2,2,80
560036035,NRG4046,0,2,0,10
432066626,ZTV9802,0,1,3,470
750120958,IGQP02,2,1,4,230
828327388,NKD0276,0,1,2,370
516846223,2954XTR,0,2,0,20
385825075,LZ875VS,0,1,3,210
383846307,INDE34,0,1,2,160
843842174,DQXE361,2,2,0,190
110053513,AS07999,2,1,4,120
283311621,ESQ8P71,0,2,2,260
72106834,FH80715,0,2,0,370
295066083,PO80493,1,1,3,380
923174780,AT750DX,1,1,1,440
29100413,EEDA96,1,2,2,410
409227183,WM17373,1,2,4,370
699687855,SFG5R53,0,2,2,460
769357143,HZ022UA,1,2,4,40
254524138,0949HVA,2,2,1,190
437345678,EQV2172,0,2,4,50
464649336,LD55710,1,2,1,420
292561535,KNOA751,0,1,0,110
334570184,YA861DK,0,2,0,390
116222851,RLZ0008,2,1,4,270
246476311,VGFS595,2,1,0,400
437277729,PGMG039,0,1,1,190
478648902,PQC6L85,0,2,1,290
961696253,ZQAX56,0,2,4,440
198663985,PW87314,2,1,1,200
376250246,8780CST,0,2,4,390
494330889,XY220VU,1,2,0,180
448764125,QTL3967,0,2,2,230
679312221,0206RKU,2,2,4,410
626802941,WBLU04,1,1,4,410
834394672,AF58417,1,2,0,90
279427098,KHW0J69,0,2,1,170
75500419,DQE0023,2,2,3,80
298475219,RP94993,0,1,3,440
144789426,IGR8590,1,2,0,220
154748253,AR50001,0,1,3,80
555475805,KWUN13,0,1,3,470
98004105,ARJR03,0,2,3,20
844698886,CHUP07,2,1,2,200
848969916,TY927AO,2,1,1,70
113244875,UBN2708,1,2,1,340
226209148,MPED63,0,1,4,80
50597184,ZCWC849,2,1,0,160
947061086,NX085TP,1,2,4,440
766316449,MQHB708,2,1,0,150
684570980,JAV6V36,2,2,0,50
270806896,XKC3S60,2,1,1,60
114089279,POM0X55,2,2,1,470
572069260,QMF3W71,1,1,3,100
886606351,5900LYR,1,2,4,290
987776620,DDJS04,2,1,2,420
312753448,IA553IR,2,1,1,120
207445907,VD94011,1,1,2,340
706732710,SJVT60,1,1,0,180
720960006,EJBV796,1,2,0,10
893810212,FUB9217,2,2,2,170
377354472,AMRV105,0,2,4,320
794000961,KCI9613,2,1,1,170
49884504,TQ64187,0,1,1,260
451841636,UULB990,1,2,2,250
243446798,4488RJX,0,2,0,270
40494042,WWWD472,2,2,0,260
132393140,QEYH099,2,1,0,290
408667831,ZYDI07,0,2,1,350
936939332,6040LHP,2,2,3,500
968582352,KZCS057,2,1,3,370
892153294,PVW4543,1,2,0,240
354496540,CZU0046,0,1,0,160
380404341,BH735QC,2,2,4,440
860425686,NB005UH,2,2,4,90
956390982,UWFP008,0,1,1,180
976807857,CXNH003,2,1,3,240
934389283,FIL9560,1,2,1,360
545119182,9101YAB,2,2,0,0
72806177,0561FIQ,1,2,4,460
531628697,LK059CX,1,1,4,440
531281716,GV954OS,2,1,1,170
41425261,QY044FD,2,2,1,490
283063815,HICA30,2,1,4,60
517096728,AE90243,1,1,0,70
71737284,KO007YL,0,1,2,20
826942698,ZFNL063,2,2,1,150
671986172,CXQV564,0,2,2,120
143986335,NZN3630,1,1,0,210
479947948,2510XER,2,2,0,110
464350241,6600KAA,2,1,3,310
922738271,OP18890,2,2,2,190
699392152,GBF5L56,2,2,4,200
852766419,PMA0N49,0,1,0,270
339071027,ZGKH917,0,2,2,100
555175582,VSZQ63,2,1,3,70
171664980,CFG6640,1,2,0,60
292042456,GA91301,0,1,3,110
165328806,RT17005,0,2,3,370
541613308,CLS6S13,2,1,1,390
235741871,1477RTJ,1,1,4,10
977486925,PKPZ307,2,1,0,20
701932638,EJAO09,0,1,0,230
324289077,JBNV578,0,2,2,270
369971427,3208FIM,2,1,1,400
659767987,GPO3768,1,1,4,350
464845356,VTUT803,0,1,2,70
947594845,YBJF453,0,1,2,90
746941041,IS122SI,1,1,1,260
375592118,OM53704,2,2,4,380
250888403,8364ZIT,2,1,4,170
647150643,HMJO96,1,2,1,250
501234414,WBLU864,1,1,1,70
819705469,WO69910,0,1,2,440
352547022,VHY4407,1,2,3,360
11058379,DZD8F22,0,1,2,300
580672779,VRFS096,1,1,2,170
861810387,QN56019,0,2,2,400
683347077,QRM0884,0,2,4,370
213013520,PNJ5B04,2,2,3,330
58764812,DXEC391,0,2,4,20
268649404,LGX6589,0,2,2,470
605654313,FUFU949,1,2,1,100
138245235,KBZO758,1,2,2,340
816401645,HAI0N19,2,1,2,230
468355235,CLZ0066,0,1,1,400
150545417,RG93894,2,2,1,270
681274110,QEP0849,2,2,2,120
78213752,EG60831,0,2,3,30
505820041,QBJ8747,1,2,1,280
521620184,SE99202,2,1,1,310
362965998,BFJX722,0,1,2,480
187034382,FJE2T77,1,2,0,360
296335691,FD962GX,2,1,3,220
540713885,OZ70003,0,1,1,490
929369181,NVBK022,0,1,0,40
450796456,1893OSQ,1,2,1,450
400508001,SRQ8Z70,2,2,1,170
746092415,YGK4W93,0,1,4,50
5474297,1240GZP,0,2,2,330
746596245,EWMB56,1,1,2,100
769655554,CBWB02,0,2,2,400
392217235,ZV886CM,2,2,0,190
230311328,KF12923,2,2,3,50
988484522,OGG3Z06,1,1,2,260
515812292,AE436SX,0,2,1,60
217974457,RNTG61,1,2,1,220
225070282,7391YGV,0,2,3,130
900586557,JTA2389,0,2,2,320
762872783,DE303VM,0,1,0,250
321632905,HJVX80,2,1,1,180
12468172,AFZ0913,0,1,1,90
44700255,LXB4207,1,1,1,280
362932026,XF09052,2,1,3,460
567763222,SRTZ50,2,1,2,350
698665541,5046CKR,2,1,2,190
503186222,QKU0U24,1,2,1,180
598573841,TOEB74,0,2,1,320
951505220,RTQ3X03,1,1,4,200
295487998,BICU740,1,2,0,390
598722160,QA89389,2,1,4,470
969389433,NZF5Q13,0,1,4,20
113417863,EH978PO,0,1,1,420
993292772,PPJ5295,1,1,2,480
398847775,LKO8042,1,2,3,170
397716502,LP080FD,1,2,3,290
953761334,KP50493,0,2,0,300
402702897,INFU403,2,1,3,120
916098803,PSL3W36,2,2,3,490
89077775,BZB8X66,0,2,4,440
151369775,ZFB5327,2,2,1,460
728105582,LOUK502,1,2,3,420
763814205,NZ19985,2,2,3,240
887510697,SEG4603,2,1,1,180
618986689,VXT5R84,1,2,1,20
574258842,US97799,1,2,1,70
783175729,3928MYP,1,1,4,190
983411233,WX031KV,1,1,4,490
829298034,ZA079SU,0,2,3,480
749781604,BE55769,2,1,4,220
994331367,RH626SI,2,1,1,270
778610457,PT82583,2,1,4,410
731455269,BCF4832,0,1,0,490
232960971,XFF3042,0,1,4,80
58558720,RB517WU,1,2,1,130
187694083,QD42693,0,2,4,130
699553891,UUWR70,0,1,4,270
996144543,1232YKL,0,1,3,60
432258371,FWQT06,1,1,4,210
777731378,BFD8L16,2,2,0,90
485255293,PIDK01,1,2,4,0
435569829,MFXU40,0,1,1,320
320389189,RGP0915,2,2,2,70
976455647,0104YFG,2,2,0,490
171157193,XUI5U10,1,2,0,80
675388320,UXTV30,1,1,3,340
214565889,QU847QX,1,1,2,270
874677624,ZZL0542,2,1,3,100
191438808,DQWX051,2,2,4,300
602298946,RHH1E33,2,2,0,180
430061762,GQB8244,1,2,4,250
749091226,YAS0006,2,1,3,320
819809035,ZYIB56,2,1,1,340
175908711,APFG341,1,2,2,410
970724776,HSU0520,0,1,1,70
258286230,CMAO77,1,1,4,20
151945964,GUAQ55,2,2,2,70
5004095,GXRS01,1,2,4,440
262587188,WCI2Z16,0,1,2,80
598628225,KBBI38,0,2,2,450
133969370,TSEG97,1,1,0,320
928461458,WMBU07,0,1,3,370
804858518,UGK1908,1,2,4,500
164968489,ATZC910,2,2,4,410
900072183,TTN6S60,2,1,2,400
371623211,FVGB41,1,2,2,480
195574690,ML101QK,2,1,1,300
778404280,LB27059,0,1,3,360
793774752,LGAA689,1,2,4,200
7906950,LY57535,0,2,2,190
603441769,SPJN302,0,2,0,80
522597581,SX189SP,1,2,0,140
900075294,ZX12458,0,1,0,120
526995691,YCSC21,0,1,3,470
362329898,DLK3000,2,1,1,490
176217949,YG00562,2,1,4,130
411918345,JFS1W20,0,2,1,370
242410119,6710URN,0,2,4,200
351543947,IV03036,0,2,0,330
712865989,4252HWX,0,1,0,0
372869128,MXX0Y14,2,2,3,340
298576465,WIUG14,1,1,1,50
902666274,9849XPP,1,1,3,310
543447229,YDPL500,2,1,1,440
710941055,EPQ8H90,2,1,3,200
403712176,BTT8333,1,2,0,430
344647910,ADRL477,2,2,2,190
842877078,NUG3L75,1,1,1,300
511505366,BNUP437,0,2,2,80
139613609,LJ718TH,2,1,1,110
967153137,DQMB211,2,2,3,150
559044405,PR21211,2,2,0,430
434004781,ZYUR053,0,1,1,10
852556762,IKKH81,1,2,3,130
160550762,SAOZ338,1,1,0,30
164880139,NB70952,1,1,3,340
651594701,4739FSQ,2,2,0,380
171414752,WJ59483,2,2,3,350
477638716,UFU7E60,1,1,3,10
444360348,IBL0K61,0,1,2,240
548224446,HJB3M33,0,2,0,70
96831844,KYLW502,2,2,3,390
215837130,XD71258,1,2,0,60
313072718,QO90960,2,2,1,280
911800777,NRFQ08,0,1,2,460
109277490,QWGN784,1,1,1,460
491191762,JUNG136,2,1,0,210
256387040,0001LCZ,1,1,3,250
30472131,UGX1360,1,1,4,420
991760049,VKDO032,2,1,4,400
936739375,NMJ9105,1,2,1,230
61289049,5862ERS,2,1,4,240
833885966,PHK0Z21,2,1,4,10
981812565,OV277TX,2,1,2,370
205399950,MRXC860,1,1,4,450
364209104,SK133OB,2,2,2,300
120492957,HF12770,1,1,4,330
394323613,LPJG70,1,2,3,490
129164456,EBQO01,1,2,2,100
101587304,KEC6048,0,2,0,210
944565215,PIH6545,2,2,4,260
381965638,ZI60395,0,1,1,160
920310125,UPIM236,2,1,4,450
949675179,YQ21263,0,1,3,0
735417931,RVK6965,2,2,3,260
515334007,FHVC080,2,1,0,130
502253932,MC062OG,1,2,4,100
51071258,0595BCF,0,1,3,50
115887328,JD557JE,0,1,0,200
894245071,LXTT61,2,2,2,30
99168639,BY39034,2,2,0,410
475152210,FCXM91,0,2,2,410
190784936,ONS5467,2,2,1,150
250898646,3600ZKJ,1,2,3,40
591017969,XHI7P01,2,1,0,410
148030424,9460UDZ,2,2,2,390
477800481,YZNE55,1,2,0,200
306012923,PX31140,1,2,0,80
495480371,FQ96170,2,1,0,350
274471194,BYI4074,0,1,0,320
64174097,PFF7L61,1,2,1,220
315892148,XUBN55,2,2,2,360
938672010,LODK734,1,2,4,450
648253583,RTR0A76,2,2,3,60
324684749,MVQT524,2,2,3,350
998741553,EYQF847,0,1,0,420
502820412,USZ7116,1,1,2,470
489530439,WMHQ40,2,1,1,400
663821061,KLL9G30,0,2,3,290
961636482,EQN9616,0,1,3,310
700462473,GEX5F26,1,1,4,480
842522650,3981ONZ,0,2,0,240
430639703,ZKM7Z00,1,1,1,270
563836946,LM095WO,1,1,1,50
27746980,FZWM83,0,1,0,340
152480311,JYU6K00,0,1,0,260
559050073,NSAU242,1,1,1,40
884346179,0378OGJ,0,2,1,110
265761579,YDPH48,1,1,3,220
816092692,BP689CJ,0,2,0,320
216755279,7521HGF,1,2,0,410
983701078,OBJP702,2,1,4,20
647252578,YFM8P28,2,1,4,230
499709870,YRID411,1,2,0,470
361300547,QF066GV,1,2,2,380
87275727,WN645YB,2,2,4,280
319468315,YHPC281,2,1,2,360
343249458,PH82607,0,2,1,210
185913860,4502HQN,0,1,3,190
152874602,PA86092,0,2,2,110
272821592,FGDG05,0,1,4,220
706777283,MHV5A91,2,1,2,380
342786986,GC638LP,1,1,3,140
734387355,PFOT60,1,2,3,220
105536583,3209IRJ,0,2,3,20
165573561,VLQE26,1,1,1,180
727688910,SSLG34,1,1,1,0
194398783,KLQ8977,2,2,3,170
275099554,XAT0325,0,1,1,110
346275371,ZV24438,2,2,3,190
373903744,SWQ4534,1,1,4,210
25080203,EEG6188,0,1,2,430
396697417,DT220IL,1,2,0,70
670902061,QAME36,0,1,1,190
681925331,QLR7606,0,2,4,140
94802363,KVJ0746,0,1,4,60
757993247,JDOG48,1,2,0,480
147172261,MJFP517,2,1,4,70
61719096,JQVE010,0,1,3,410
368740905,SX757LW,0,1,2,310
108110041,LME0Y08,2,1,0,280
46606977,RF07704,0,2,3,240
76598240,IIV5263,2,1,3,270
481257812,5021BCY,2,2,0,0
394702067,BL642GI,0,1,0,130
887935724,8528EWR,0,1,3,80
817103919,4486JZG,2,2,2,70
913143051,EH330EC,2,1,3,110
814699577,QICL952,0,2,2,100
643336531,IMYT022,1,1,2,170
410022141,QW04817,1,2,1,10
633517288,MCHB347,0,2,3,140
257219148,5039TSV,2,1,0,280
266729712,YT395BF,0,1,3,260
655098395,4374FKF,0,1,1,380
51342929,KKX9830,2,1,0,80
535612019,8112UNC,2,1,3,160
483391260,TVP7Y01,2,2,4,350
181218674,GBQX164,1,2,3,50
148201336,6800AZY,1,1,2,310
302786076,CQJ8N02,0,1,3,100
552642593,DPWH65,0,2,4,220
359351637,CZTQ33,0,2,4,130
907907965,STG7108,2,2,1,140
869527413,LKLP86,1,2,3,320
576207250,MKKZ81,1,2,4,90
326497096,EW634SL,2,2,4,180
371765698,5931DKJ,1,1,4,410
167039628,PLB4X53,2,2,2,290
809271452,JMHP36,2,1,4,410
576042933,WLR0071,1,2,0,450
619866934,QOC1181,1,1,1,310
17924099,CNFG90,1,2,3,360
598929340,YSU5780,0,2,0,280
347474041,QQ11147,0,1,2,390
334595086,VAK4056,2,2,4,180
985988031,SU97634,2,2,1,210
658168267,TOA3O68,1,1,1,330
438128336,ZKD3365,1,2,4,390
853810494,HP29910,0,2,3,290
916260929,ZV097VS,1,1,3,60
668077225,0101OJP,2,2,1,110
346228786,RTLJ78,0,2,0,70
824611272,YIU1N40,0,1,0,70
338044735,SS700DJ,2,1,3,100
163051399,VBF0325,1,1,4,250
577847867,9928WNT,0,2,4,140
778240687,NZFI866,2,2,0,200
925921814,DOYR607,0,2,2,110
409122935,TM97619,0,1,2,270
289218235,QYA8298,0,2,1,480
870268198,QKXT41,2,2,4,280
643603840,OWRI652,1,2,0,280
594397445,YUY0S22,2,1,4,320
96672150,EX86496,0,1,3,340
45248478,DI67296,0,1,4,470
989946500,WPJC19,1,1,0,250
65899171,KPB0110,1,2,3,280
396630040,GKW0V05,2,2,4,280
71716779,MZ26652,1,2,4,380
493844507,HHSV12,1,2,1,440
696058648,XAHY824,1,1,1,190
427496011,WZ72667,2,2,2,480
304424376,SXJA59,2,2,0,110
854128533,CB699EV,2,2,0,110
190454060,CGJQ95,0,1,3,90
484413580,ARS2703,0,1,4,50
12575895,0463JRM,2,2,1,460
302601321,ON898ZC,2,1,0,120
587097202,XJX3071,2,2,4,120
676246101,NOA2O02,1,2,1,250
723921740,XAT5949,2,1,1,490
901097648,AWAJ494,1,2,1,210
565784805,OQ50516,2,1,2,190
151002291,NK04724,1,1,1,210
359761436,YSB4636,2,1,0,250
286809805,5029YYQ,0,2,0,500
176513026,CN744WU,2,1,4,200
987569230,YQNB365,0,1,4,450
916099191,VI202GY,2,1,2,60
283440037,FACU47,1,1,3,360
985249313,TRR1G04,2,1,4,100
935923204,7220TJX,2,1,4,430
16126791,DJK6006,2,2,2,180
289264459,9423STK,2,2,2,40
580134219,ITQ2422,1,1,2,250
950545291,BBJ5183,0,2,1,100
85522498,0002UNO,2,1,4,320
551504755,GBOT02,1,1,1,240
454695277,IO73921,0,2,2,350
946842801,HR42967,2,1,2,420
644691820,6253MXL,1,2,4,180
829649935,WJAK154,0,2,4,130
304339302,QI879VF,1,1,0,30
813913390,GY821HJ,0,2,4,450
986792867,LRCS26,1,2,4,130
672088376,GWTL84,1,1,1,280
80927761,JEOT814,1,1,0,10
675639361,QIZE793,1,2,3,50
763097632,BZJ0Q96,2,2,1,0
461888406,IER9835,1,2,4,280
925826851,PSDB327,2,1,0,260
295596938,HDW8B79,1,1,3,500
891240051,AHJY704,0,1,2,370
68297216,BBW6W33,2,2,1,10
606408644,UZ419JM,2,1,2,330
896078146,AS117YG,0,1,0,40
941812246,MOD4T01,1,2,1,230
494365480,4982IMY,2,2,4,230
121699545,FL70731,1,2,3,80
209241748,BOZP597,2,1,4,180
173725756,RRVT105,1,2,2,100
12131238,ZPFH387,1,2,2,330
422475713,PP905XE,0,1,2,70
48653828,QB91708,0,1,3,130
906426450,SYX0674,0,1,1,50
922764014,DDNK044,1,2,4,370
697776908,XORT309,0,2,4,410
502445950,YTV9A20,1,1,3,310
134070923,ZJ068RZ,0,1,4,140
561852581,PE43106,1,1,2,370
157246026,UKP1R87,1,2,2,140
267140516,QD93568,1,2,2,250
992493097,FBCW390,1,1,1,20
797341062,QLR1355,1,2,4,170
125631795,RAV2082,2,1,1,440
443870284,MFLY55,2,2,3,100
733108217,COK3O52,0,1,4,210
407520091,ZNV5E37,0,2,1,0
316132233,NOAJ40,0,1,0,370
332131093,PKCR01,1,2,0,480
462729275,LGBG904,1,2,3,390
495072808,PTWM318,2,2,2,130
928083377,FK771EL,0,1,1,90
501290299,QMX9P30,2,1,0,500
711660429,HKPN656,1,2,4,400
686970826,WW490GO,2,2,1,430
906242013,ELQY413,1,1,3,330
880459884,QHD5X26,0,2,2,480
491358602,JL111YS,0,1,2,210
31632505,0507HNF,0,2,3,130
811961548,TGGD08,1,2,1,330
459141653,SH107DH,2,1,1,390
658927083,LRB4K28,1,2,0,220
201092718,YS90023,2,2,4,290
232309596,PM81710,1,1,2,30
650593205,FJQU73,0,2,3,80
465163952,FQZR271,1,1,3,130
594668468,XTAQ00,1,1,4,10
209427641,ENP8298,1,1,3,240
937666984,ZHX4687,1,1,4,470
472072767,EBR6217,1,1,4,90
177785759,HFO8304,0,1,1,170
186211779,KZT4L42,2,2,1,270
394757146,KMDT80,0,1,3,440
810258386,OIO5K89,1,2,2,250
649467137,WL92947,2,2,3,180
763788811,BP154PP,2,2,2,300
929493767,YYPE643,2,1,2,440
749096429,KDQF81,0,2,3,40
252678616,FYPI061,2,1,3,30
61041364,PNJK27,1,1,3,30
610361503,TTJA459,1,1,3,460
832636356,LUXI316,1,2,2,330
310135485,ZUFQ484,1,1,4,210
446578576,AW04637,2,2,4,260
140177699,YBO7N59,2,1,4,230
583213313,BZV7128,1,1,1,260
758178410,NJ49728,1,2,4,390
97925105,STA7F17,0,2,2,410
29704961,8260JTD,1,2,1,210
147574898,UTW8802,2,2,4,210
409005263,GLZ9U03,1,2,0,200
139905477,MJ098AP,2,1,4,470
931159321,USY2002,0,1,2,220
355205100,AQ007XL,0,1,1,50
455097995,2830XTF,2,1,0,10
932893860,AGL0227,2,2,0,90
155175444,EOI1B66,1,2,3,80
453660126,DDQ1033,0,2,3,280
441922218,CAT6296,1,1,3,310
442758183,TJ36133,0,2,0,320
782841655,EW919DW,0,1,3,310
438433256,SQS7C91,0,1,1,180
130062883,EB069XB,0,2,1,200
791084339,TB09092,2,2,2,0
736974524,KTQX356,0,1,2,300
855769647,LAS0690,0,1,3,420
316139182,MSFQ256,2,2,4,440
285140448,AIID351,2,2,2,420
513487801,DPM6637,2,2,1,350
130557918,ZQTR21,0,2,0,250
269056470,7537WYA,2,2,2,250
683943344,3397IFN,0,2,0,490
160577288,7225EGP,1,1,0,100
62888500,QG307OO,1,2,2,280
513325740,OZMN248,0,1,1,60
165441348,4595MDH,2,2,4,90
448528082,LGY0O73,2,2,4,220
503122633,7024CPY,0,1,0,30
765912863,MFYJ30,1,2,3,490
557920508,JBU6I01,0,2,0,310
944320833,FMC3Q79,1,2,0,60
355998695,XT60035,0,2,3,500
502634909,3410HHH,2,2,3,460
159220442,BND0B34,1,1,4,200
479096819,CC39282,1,1,4,230
255496555,BW259VJ,2,1,4,220
699762224,YIIE53,2,2,4,250
571004959,KX100LW,1,1,4,50
934077490,VB20416,1,2,1,120
476275464,AL002RB,0,1,1,10
136969840,JLIP24,1,2,1,40
53787357,WRR3D35,0,1,3,450
73165042,KYO6864,2,2,1,250
673113665,HC47383,1,1,3,130
945559589,KRSU30,2,1,1,360
91613589,JM301GS,0,1,0,490
623778359,BK97377,1,1,0,440
36215576,UB230EQ,1,1,2,240
133861401,JZVY812,0,1,2,250
803985289,0906ACO,0,2,1,230
373163336,CID7308,0,2,4,300
852501222,UFP9K00,2,2,0,10
116902181,ZK14673,1,2,1,200
44085631,QWG1946,2,2,4,140
